pre purchase inspection,180,280,1,Case,280.0,http://www.alibaba.com/product-detail/pre-purchase-inspection_399525988.html,China (Mainland),"Sunchine Business Consulting Co., Ltd.",http___i00.i.aliimg.com_photo_v0_399525988_pre_purchase_inspection.jpg,US $180-280 / Case ( FOB Price),"Place of Origin: CN;JIA
																																												; Brand Name: sunchine
																																												; Model Number: inspection"
We need serious new distributors,35,35,1,Liter,35.0,http://www.alibaba.com/product-detail/We-need-serious-new-distributors_150897284.html,Netherlands,INTERPREDT,http___i00.i.aliimg.com_photo_v0_150897284_We_need_serious_new_distributors.jpg,US $35 / Liter ( FOB Price),"Place of Origin: CA;9
																																												; Model Number: COR341
																																												; Brand Name: Lifestyles
																																												; herbal blend: 35 USD"
Bricklayer,1300,2000,30,Cases,60000.0,http://www.alibaba.com/product-detail/Bricklayer_1329116174.html,China (Mainland),Jintan International Economic &  Technical Cooperation Corporation,http___i00.i.aliimg.com_photo_v0_1329116174_Bricklayer.jpg,US $1300-2000 / Case ( FOB Price),"Place of Origin: CN;JIA,China
																																												; Brand Name: Jintan International
																																												; Classas: Foreign labor service cooperation
																																												; Category: Bricklayer"
Kaushik Janashakti International Pvt Ltd,100,300,10,Pieces,3000.0,http://www.alibaba.com/product-detail/Kaushik-Janashakti-International-Pvt-Ltd_131822056.html,Nepal,KAUSHIK JANASHAKTI INTERNATIONAL PVT LTD,http___i00.i.aliimg.com_photo_v7_131822056_1_Kaushik_Janashakti_International_Pvt_Ltd.jpg,US $100-300 / Piece ( FOB Price),"Place of Origin: NP
																																												; Brand Name: kaushik janashakti"
Construction Shuttering Carpenter Workers Supply Agency,350,600,05,Units,3000.0,http://www.alibaba.com/product-detail/Construction-Shuttering-Carpenter-Workers-Supply-Agency_50003518622.html,Bangladesh,FASHION TRADE EXPORT,http___i00.i.aliimg.com_photo_v0_50003518622_Construction_Shuttering_Carpenter_Workers_Supply_Agency.jpg,US $350-600 / Unit ( FOB Price),"Place of Origin: BD
																																												; Model Number: Shuttering Carpenter 3
																																												; Brand Name: Shuttering Carpenter
																																												; Shuttering Carpenter: good"
placement Oil & gas jobs placement,500,1000,1,Unit,1000.0,http://www.alibaba.com/product-detail/placement-Oil-gas-jobs-placement_50003913460.html,India,SACTECH AUTOMATION INDIA PRIVATE LIMITED,http___i00.i.aliimg.com_photo_v0_50003913460_placement_Oil_gas_jobs_placement.jpg,US $500-1000 / Unit ( FOB Price),"Place of Origin: IN;41826
																																												; Model Number: Sactech INDIA
																																												; Brand Name: Sactech INDIA
																																												; HR Consulting: consulting staffing verification"
"Labour supply, construction, oil and gas, transportation, heavy equipment.",300,300,100,Units,30000.0,http://www.alibaba.com/product-detail/Labour-supply-construction-oil-and-gas_172350851.html,India,BGREEN INTERNATIONAL,http___i01.i.aliimg.com_photo_v0_172350851_1_Labour_supply_construction_oil_and_gas_transportation.jpg,US $300 / Unit ( FOB Price),"Place of Origin: IN
																																												; Brand Name: Aziz tours and Travels"
job vacancy,6.15,7,2200,Square,15400.0,http://www.alibaba.com/product-detail/job-vacancy_1959796291.html,China (Mainland),"Changzhou Angtec Decorative Material Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1959796291_job_vacancy.jpg,US $6.15-7 / Square Meter ( FOB Price),"Type: Engineered Flooring
																																												; Place of Origin: CN;JIA
																																												; Brand Name: Angtec
																																												; Technics: Laminate Flooring
																																												; Model Number: 715
																																												; Overlay: AC1/AC2/AC3/AC4
																																												; Surface: Parquet
																																												; HDF: 880-900g/m3
																																												; Thickness: 12.3mm
																																												; Core: brown/green
																																												; Click system: Unilin/valinge/double click
																																												; Formaledehyde release: E1
																																												; Fire rating: B1
																																												; Certified by: SGS&CE;
																																												; Balance paper: Beige/brown/green/orange/black/red"
any railway jobs,1,10,1000,Square,10000.0,http://www.alibaba.com/product-detail/any-railway-jobs_1699197127.html,China (Mainland),"Zhejiang Samdream Co., Ltd.",http___i01.i.aliimg.com_photo_v1_1699197127_any_railway_jobs.jpg,US $1-10 / Square Meter ( FOB Price),"Type: Plastic Flooring
																																												; Place of Origin: CN
																																												; Brand Name: SAMDREAM
																																												; Material: PVC
																																												; Usage: Indoor
																																												; Surface Treatment: Parquet
																																												; Model Number: 14S203853"
third party inspection,180,280,1,Case,280.0,http://www.alibaba.com/product-detail/third-party-inspection_399526083.html,China (Mainland),"Sunchine Business Consulting Co., Ltd.",http___i01.i.aliimg.com_photo_v0_399526083_third_party_inspection.jpg,US $180-280 / Case ( FOB Price),"Place of Origin: CN;JIA
																																												; Brand Name: sunchine
																																												; Model Number: inspection"
Supplying Construction Workers From Bangladesh,1100,1500,10,Units,15000.0,http://www.alibaba.com/product-detail/Supplying-Construction-Workers-From-Bangladesh_151602500.html,Bangladesh,FASHION TRADE EXPORT,http___i00.i.aliimg.com_photo_v1_151602500_Supplying_Construction_Workers_From_Bangladesh.jpg,US $1100-1500 / Unit ( FOB Price),"Place of Origin: BD
																																												; Model Number: +8801675103911
																																												; Brand Name: Construction Labour
																																												; manpower: export"
construction worker,1300,2000,30,Cases,60000.0,http://www.alibaba.com/product-detail/construction-worker_1327478876.html,China (Mainland),Jintan International Economic &  Technical Cooperation Corporation,http___i00.i.aliimg.com_photo_v0_1327478876_construction_worker.jpg,US $1300-2000 / Case ( FOB Price),"Place of Origin: CN;JIA,China
																																												; Brand Name: Jintan International
																																												; Classas: Foreign labor service cooperation
																																												; Category: Construction worker"
Human resource recruitment services for usa,500,1000,1,Unit,1000.0,http://www.alibaba.com/product-detail/Human-resource-recruitment-services-for-usa_50001564376.html,India,SACTECH AUTOMATION INDIA PRIVATE LIMITED,http___i00.i.aliimg.com_photo_v0_50001564376_Human_resource_recruitment_services_for_usa.jpg,US $500-1000 / Unit ( FOB Price),"Place of Origin: IN;41826
																																												; Model Number: Sactech INDIA
																																												; Brand Name: Sactech INDIA
																																												; HR Consulting: consulting staffing verification"
"Labour supply, construction, oil and gas, transportation, heavy equipment.",300,300,100,Units,30000.0,http://www.alibaba.com/product-detail/Labour-supply-construction-oil-and-gas_170087307.html,India,BGREEN INTERNATIONAL,http___i01.i.aliimg.com_photo_v1_170087307_Labour_supply_construction_oil_and_gas_transportation.jpg,US $300 / Unit ( FOB Price),"Place of Origin: IN
																																												; Brand Name: Aziz tours and Travels"
job vacancy,6.15,7,2200,Square,15400.0,http://www.alibaba.com/product-detail/job-vacancy_1954235332.html,China (Mainland),"Changzhou Angtec Decorative Material Co., Ltd.",http___i00.i.aliimg.com_photo_v0_1954235332_job_vacancy.jpg,US $6.15-7 / Square Meter ( FOB Price),"Type: Engineered Flooring
																																												; Place of Origin: CN;JIA
																																												; Brand Name: Angtec
																																												; Technics: Laminate Flooring
																																												; Model Number: 715
																																												; Overlay: AC1/AC2/AC3/AC4
																																												; Surface: Parquet
																																												; HDF: 880-900g/m3
																																												; Thickness: 12.3mm
																																												; Core: brown/green
																																												; Click system: Unilin/valinge/double click
																																												; Formaledehyde release: E1
																																												; Fire rating: B1
																																												; Certified by: SGS&CE;
																																												; Balance paper: Beige/brown/green/orange/black/red"
Kaushik janashakti international Pvt ltd,150,200,10,Packs,2000.0,http://www.alibaba.com/product-detail/Kaushik-janashakti-international-Pvt-ltd_155977878.html,Nepal,KAUSHIK JANASHAKTI INTERNATIONAL PVT LTD,http___i00.i.aliimg.com_photo_v3_155977878_1_Kaushik_janashakti_international_Pvt_ltd.jpg,US $150-200 / Pack ( FOB Price),"Place of Origin: NP
																																												; Model Number: 1
																																												; Brand Name: kaushik janashakti"
inspection report,180,280,1,Case,280.0,http://www.alibaba.com/product-detail/inspection-report_399525857.html,China (Mainland),"Sunchine Business Consulting Co., Ltd.",http___i01.i.aliimg.com_photo_v0_399525857_inspection_report.jpg,US $180-280 / Case ( FOB Price),"Place of Origin: CN;JIA
																																												; Model Number: inspection
																																												; Brand Name: sunchine"
Manpower Supplier IN SHANGHAI,10,300,10,Pieces,3000.0,http://www.alibaba.com/product-detail/Manpower-Supplier-IN-SHANGHAI_1470668177.html,China (Mainland),Jiangsu Create Sky International Trade Ltd.,http___i01.i.aliimg.com_photo_v0_1470668177_Manpower_Supplier_IN_SHANGHAI.jpg,US $10-300 / Piece ( FOB Price),
inspection report,180,280,1,Case,280.0,http://www.alibaba.com/product-detail/inspection-report_399525857.html,China (Mainland),"Sunchine Business Consulting Co., Ltd.",http___i01.i.aliimg.com_photo_v0_399525857_inspection_report.jpg,US $180-280 / Case ( FOB Price),
URGENT SALES FOR Samsung Galaxy s5 16gb - 32GB - 64gb + Gear 2 - Unlocked - New - Original - BUY 2PCS AND RECEIVE 1 PC FREE,145,200,2,Units,400.0,http://www.alibaba.com/product-detail/URGENT-SALES-FOR-Samsung-Galaxy-s5_50003953709.html,India,1ST COMMUNICATIONS LTD,http___i01.i.aliimg.com_photo_v0_50003953709_URGENT_SALES_FOR_Samsung_Galaxy_s5_16gb.jpg,US $145-200 / Unit ( FOB Price),
manpower supply,1000,4000,50,Pieces,200000.0,http://www.alibaba.com/product-detail/manpower-supply_111338114.html,Bangladesh,Elegant Overseas LTD(Recruiting  Agent),http___i00.i.aliimg.com_photo_v1_111338114_manpower_supply.jpg,US $1000-4000 / Piece ( FOB Price),
Bangladesh Mapower Recruiting Agencies,500,800,20,Units,16000.0,http://www.alibaba.com/product-detail/Bangladesh-Mapower-Recruiting-Agencies_171072509.html,Bangladesh,DHAKA OVERSEAS & TRAVELS,http___i01.i.aliimg.com_photo_v0_171072509_Bangladesh_Mapower_Recruiting_Agencies.jpg,US $500-800 / Unit ( FOB Price),
Manpower Supply Service From Nepal,300,500,5,Packs,2500.0,http://www.alibaba.com/product-detail/Manpower-Supply-Service-From-Nepal_102906458.html,Nepal,Nepal Manpower Supply Company,http___i00.i.aliimg.com_photo_v1_102906458_Manpower_Supply_Service_From_Nepal.jpg,US $300-500 / Pack ( FOB Price),
"Manpower , Labour, Employer, Workers To Work Abroad.",200,2500,10,Packs,25000.0,http://www.alibaba.com/product-detail/Manpower-Labour-Employer-Workers-To-Work_100598082.html,Vietnam,BIMEXCO,http___i00.i.aliimg.com_photo_v1_100598082_Manpower_Labour_Employer_Workers_To_Work_Abroad.jpg,US $200-2500 / Pack ( FOB Price),
VISA TO WORK IN CANADA,6000,7000,1,Unit,7000.0,http://www.alibaba.com/product-detail/VISA-TO-WORK-IN-CANADA_158298283.html,India,eGlobe AAA Services,http___i01.i.aliimg.com_photo_v1_158298283_VISA_TO_WORK_IN_CANADA.jpg,US $6000-7000 / Unit ( FOB Price),
MANPOWER SUPPLY FROM SRI LANKA,2900,3000,01,Dozens,3000.0,http://www.alibaba.com/product-detail/MANPOWER-SUPPLY-FROM-SRI-LANKA_125688030.html,Sri Lanka,Rizmie Travels & Tours Pvt. Ltd.,http___i00.i.aliimg.com_photo_v1_125688030_MANPOWER_SUPPLY_FROM_SRI_LANKA.jpg,US $2900-3000 / Unit ( FOB Price),
Hospitality job visas available,1600,1600,50,Cases,80000.0,http://www.alibaba.com/product-detail/Hospitality-job-visas-available_168186837.html,Malaysia,Tekniskill Manpower Sdn Bhd,http___i01.i.aliimg.com_photo_v0_168186837_Hospitality_job_visas_available.jpg,US $1600 / Case ( FOB Price),
Vietnam Labour Services - Your Manpower Solutions,100,200,1,Acre,200.0,http://www.alibaba.com/product-detail/Vietnam-Labour-Services-Your-Manpower-Solutions_165234385.html,Vietnam,VietNam Labour Services,http___i01.i.aliimg.com_photo_v0_165234385_Vietnam_Labour_Services_Your_Manpower_Solutions.jpg,US $100-200 / Acre ( FOB Price),"Place of Origin: AE
																																												; Model Number: 100
																																												; Brand Name: VLS"
Manpower Recruitment,10,100,100,Stones,10000.0,http://www.alibaba.com/product-detail/Manpower-Recruitment_176060913.html,Sri Lanka,Travel Asia International Pvt.Ltd.,http___i01.i.aliimg.com_photo_v0_176060913_Manpower_Recruitment.jpg,US $10-100 / Bag ( FOB Price),"Place of Origin: LK
																																												; Model Number: 100
																																												; Brand Name: Manpower Supply
																																												; Blue: Green"
Need workers from Asia( bangladesh and other countrys),100,200,200,Pieces,40000.0,http://www.alibaba.com/product-detail/Need-workers-from-Asia-bangladesh-and_50000648182.html,Romania,star solution,http___i00.i.aliimg.com_photo_v0_50000648182_Need_workers_from_Asia_bangladesh_and_other.jpg,US $100-200 / Piece ( FOB Price),"Place of Origin: BD
																																												; Brand Name: Star Solutoon"
MANPOWER SUPPLY AND CONSULTANT,500,10000,100,Bags,1000000.0,http://www.alibaba.com/product-detail/MANPOWER-SUPPLY-AND-CONSULTANT_166680798.html,Ghana,mother and son ventures,http___i00.i.aliimg.com_photo_v0_166680798_MANPOWER_SUPPLY_AND_CONSULTANT.jpg,US $500-10000 / Box ( FOB Price),"Place of Origin: GH
																																												; Brand Name: MANPOWER SUPPLY"
Recruitment & Staffing,200,200,500,Pieces,100000.0,http://www.alibaba.com/product-detail/Recruitment-Staffing_50003339308.html,Kenya,CROWN VENTURE INTERNATIONAL,http___i00.i.aliimg.com_photo_v0_50003339308_Recruitment_Staffing.jpg,US $200 / Piece ( FOB Price),"Place of Origin: KE
																																												; Model Number: R500
																																												; Brand Name: Recruitment
																																												; Dependable: Workers"
Manpower From Bangladesh,500,1000,100,Tons,100000.0,http://www.alibaba.com/product-detail/Manpower-From-Bangladesh_100727922.html,Bangladesh,Amin Tours & Travels (RL-981),http___i00.i.aliimg.com_photo_v0_100727922_Manpower_From_Bangladesh.jpg,US $500-1000,"Place of Origin: BD
																																												; Model Number: 007
																																												; Brand Name: Bangla"
"WORK PERMIT , PERMANENT RESIDENCE OF CANADA",12000,18000,230,Pieces,4140000.0,http://www.alibaba.com/product-detail/WORK-PERMIT-PERMANENT-RESIDENCE-OF-CANADA_121435740.html,Pakistan,DIEP Consultancy for Study and Immigration,http___i00.i.aliimg.com_photo_v8_121435740_WORK_PERMIT_PERMANENT_RESIDENCE_OF_CANADA.jpg,CA $12000-18000 / Case ( FOB Price),"Place of Origin: CA
																																												; Model Number: WELDERS, HEAVY DUTY DRIVERS ,MECHANICS,FOOD ATTEND,BUTCHER,FISH CUTTER
																																												; Brand Name: LEVEL A ,B C& D OCCUPATIONS
																																												; 12,000$: 18000$"
Manpower From Bangladesh,500,1000,100,Tons,100000.0,http://www.alibaba.com/product-detail/Manpower-From-Bangladesh_100727922.html,Bangladesh,Amin Tours & Travels (RL-981),http___i00.i.aliimg.com_photo_v0_100727922_Manpower_From_Bangladesh.jpg,US $500-1000,
Leading Manpower Agency working from Nepal,300,600,10,Packs,6000.0,http://www.alibaba.com/product-detail/Leading-Manpower-Agency-working-from-Nepal_139362812.html,Nepal,Manpower Supply Company in Nepal,http___i00.i.aliimg.com_photo_v1_139362812_Leading_Manpower_Agency_working_from_Nepal.jpg,US $300-600 / Pack ( FOB Price),
Collingwood hotel required workers,20,22,5,Rolls,110.0,http://www.alibaba.com/product-detail/Collingwood-hotel-required-workers_155889358.html,Australia,Collingwood Hotel,http___i00.i.aliimg.com_photo_v1_155889358_Collingwood_hotel_required_workers.jpg,AU $20-22 / Square Centimeter ( FOB Price),
housemaids,800,1000,1000,Pairs,1000000.0,http://www.alibaba.com/product-detail/housemaids_50002131414.html,Ethiopia,Ridvan Gulf Trading PLC,http___i00.i.aliimg.com_photo_v0_50002131414_housemaids.jpg,US $800-1000 / Pair ( FOB Price),
"WORK PERMIT , PERMANENT RESIDENCE OF CANADA",12000,18000,230,Pieces,4140000.0,http://www.alibaba.com/product-detail/WORK-PERMIT-PERMANENT-RESIDENCE-OF-CANADA_121435740.html,Pakistan,DIEP Consultancy for Study and Immigration,http___i00.i.aliimg.com_photo_v8_121435740_WORK_PERMIT_PERMANENT_RESIDENCE_OF_CANADA.jpg,CA $12000-18000 / Case ( FOB Price),
"MANPOWER, MANPOWER, MANPOWER, MANPOWER, MANPOWER, MANPOWER, MANPOWER Bangladesh",1100,1500,10,Units,15000.0,http://www.alibaba.com/product-detail/MANPOWER-MANPOWER-MANPOWER-MANPOWER-MANPOWER-MANPOWER_151601979.html,Bangladesh,FASHION TRADE EXPORT,http___i01.i.aliimg.com_photo_v1_151601979_MANPOWER_MANPOWER_MANPOWER_MANPOWER_MANPOWER_MANPOWER_MANPOWER.jpg,US $1100-1500 / Unit ( FOB Price),
Offer Manpower Engineering Resources,100,1000,1,Piece,1000.0,http://www.alibaba.com/product-detail/Offer-Manpower-Engineering-Resources_111468559.html,India,Sensoft International services,http___i01.i.aliimg.com_photo_v0_111468559_Offer_Manpower_Engineering_Resources.jpg,US $100-1000 / Piece ( FOB Price),
House Maid,600,1200,05,Units,6000.0,http://www.alibaba.com/product-detail/House-Maid_50003853985.html,Bangladesh,Dhaka House Maid Supply Company,http___i01.i.aliimg.com_photo_v0_50003853985_House_Maid.jpg,US $600-1200 / Unit ( FOB Price),
WORK PERMIT VISA IN USA AND CANADA,9000,15000,300,Pieces,4500000.0,http://www.alibaba.com/product-detail/WORK-PERMIT-VISA-IN-USA-AND_123669898.html,Bangladesh,MAAZ TRAVELS AND TOURS LTD,http___i00.i.aliimg.com_photo_v2_123669898_WORK_PERMIT_VISA_IN_USA_AND_CANADA.jpg,US $9000-15000 / Piece ( FOB Price),
MANPOWER SUPPLY FROM INDIA,1000,2000,10,Pieces,20000.0,http://www.alibaba.com/product-detail/MANPOWER-SUPPLY-FROM-INDIA_50001606213.html,India,ZEST CONSULTANCY,http___i01.i.aliimg.com_photo_v0_50001606213_MANPOWER_SUPPLY_FROM_INDIA.jpg,US $1000-2000 / Piece ( FOB Price),
2 years employment pass DP 10 Visa,2000,32000,2000,Pieces,64000000.0,http://www.alibaba.com/product-detail/2-years-employment-pass-DP-10_50001542964.html,Bangladesh,GLOBAL VISA SERVICE  INC,http___i00.i.aliimg.com_photo_v0_50001542964_2_years_employment_pass_DP_10_Visa.jpg,US $2000-32000 / Piece ( FOB Price),
Manpower,300,300,100,Units,30000.0,http://www.alibaba.com/product-detail/Manpower_179257272.html,Nepal,Landmark Recruitment Agency,http___i00.i.aliimg.com_photo_v0_179257272_Manpower.jpg,US $300 / Unit ( FOB Price),
Recruitment Services,24000,24000,5,Dozens,120000.0,http://www.alibaba.com/product-detail/Recruitment-Services_139795229.html,Thailand,Abroad Placement Private Limited,http___i01.i.aliimg.com_photo_v0_139795229_Recruitment_Services.jpg,US $24000 / Dozen ( FOB Price),
My Data Team Global Data Entry & Traditional Data Entry Jobs $49.95,49.95,49.95,1,Unit,49.95,http://www.alibaba.com/product-detail/My-Data-Team-Global-Data-Entry_50002365812.html,South Africa,charterboxstudio,http___i00.i.aliimg.com_photo_v0_50002365812_My_Data_Team_Global_Data_Entry_Traditional.jpg,US $49.95 / Pack ( FOB Price),
Manpower.,100,500,10,Pieces,5000.0,http://www.alibaba.com/product-detail/Manpower-_121874370.html,Bangladesh,FMQ ESTABLISHMENT,http___i00.i.aliimg.com_photo_v0_121874370_Manpower_.jpg,US $100-500 / Piece ( FOB Price),
labours and employment,400,500,500,Forty-Foot,250000.0,http://www.alibaba.com/product-detail/labours-and-employment_115223425.html,India,haza international,http___i01.i.aliimg.com_photo_v0_115223425_labours_and_employment.jpg,US $400-500 / Foot ( FOB Price),
Written Work Resume,100.00,200.00,1,Unit,200.0,http://www.alibaba.com/product-detail/Written-Work-Resume_168855073.html,Canada,John's Employment Services,http___i01.i.aliimg.com_photo_v0_168855073_Written_Work_Resume.jpg,US $100.00-200.00 / Unit ( FOB Price),
Salon Staff Supply,2000,2000,1,Piece,2000.0,http://www.alibaba.com/product-detail/Salon-Staff-Supply_50003616948.html,United Arab Emirates,Alami & Co.,http___i00.i.aliimg.com_photo_v0_50003616948_Salon_Staff_Supply.jpg,US $2000 / Piece ( FOB Price),
LEBANON JOBS,3500,4000,1000,Dozens,4000000.0,http://www.alibaba.com/product-detail/LEBANON-JOBS_148935882.html,Bangladesh,MARSA TOURS AND TRAVELS LTD,http___i00.i.aliimg.com_photo_v1_148935882_LEBANON_JOBS.jpg,US $3500-4000 / Piece ( FOB Price),
Jobs USA Nursing PT OT Doctors,23,25,1,Dozen,25.0,http://www.alibaba.com/product-detail/Jobs-USA-Nursing-PT-OT-Doctors_112424786.html,Philippines,Shem Export,http___i00.i.aliimg.com_photo_v1_112424786_Jobs_USA_Nursing_PT_OT_Doctors.jpg,US $23-25 / Dozen ( FOB Price),
MANPOWER SUPPLY FROM SRI LANKA,3500,4000,100,Units,400000.0,http://www.alibaba.com/product-detail/MANPOWER-SUPPLY-FROM-SRI-LANKA_135929120.html,Sri Lanka,MOHAMMED RIYAZ,http___i00.i.aliimg.com_photo_v0_135929120_MANPOWER_SUPPLY_FROM_SRI_LANKA.jpg,US $3500-4000 / Unit ( FOB Price),
Barber From Bangladesh,500,900,03,Units,2700.0,http://www.alibaba.com/product-detail/Barber-From-Bangladesh_179399010.html,Bangladesh,Manpower Exporter & Supplier,http___i00.i.aliimg.com_photo_v3_179399010_Barber_From_Bangladesh.jpg,US $500-900 / Unit ( FOB Price),
Recruitment Services,1000,100000,1,Piece,100000.0,http://www.alibaba.com/product-detail/Recruitment-Services_100203454.html,Pakistan,Friends Enterprises,http___i00.i.aliimg.com_photo_v0_100203454_Recruitment_Services.jpg,US $1000-100000,"Place of Origin: PK
																																												; Brand Name: Manpower from Pakistan
																																												; Model Number: 786
																																												; Manpower Recruitment workforce: recruitment consultancy"
Crew Recruitment Agency,100,200,10,Pairs,2000.0,http://www.alibaba.com/product-detail/Crew-Recruitment-Agency_103952814.html,Nepal,United International Crew Management (P) Ltd,http___i00.i.aliimg.com_photo_v0_103952814_Crew_Recruitment_Agency.jpg,US $100-200,"Place of Origin: NP
																																												; Agency Fee: Free
																																												; Agent Number Limit: Any
																																												; Required Agent Type: Na
																																												; Contract Period: more than 5 yrs"
Freelance Research Writer,6,8,5,Pieces,40.0,http://www.alibaba.com/product-detail/Freelance-Research-Writer_100336902.html,Philippines,Arm Extensions,http___i00.i.aliimg.com_photo_v0_100336902_Freelance_Research_Writer.jpg,US $6-8 / Piece ( FOB Price),
Green Cards,1000000,1000000,1,Acre,1000000.0,http://www.alibaba.com/product-detail/Green-Cards_139154439.html,United States,Romney Ventures LLC (Trading Division),http___i01.i.aliimg.com_photo_v0_139154439_Green_Cards.jpg,US $1000000 / Acre ( FOB Price),
PACKING HELPERS,5240,6000,10,Wp,60000.0,http://www.alibaba.com/product-detail/PACKING-HELPERS_168158991.html,India,SK GLOBAL SOLUTION SERVICES,http___i01.i.aliimg.com_photo_v0_168158991_PACKING_HELPERS.jpg,US $5240-6000 / Wp ( FOB Price),
offer,5000,50000,80,Dozens,4000000.0,http://www.alibaba.com/product-detail/offer_135285981.html,Benin,grades africa consultants sarl,http___i01.i.aliimg.com_photo_v1_135285981_offer.jpg,US $5000-50000 / Dozen ( FOB Price),
SalesMax,100,125,20,Units,2500.0,http://www.alibaba.com/product-detail/SalesMax_50002539427.html,United States,American Hiring Tools,http___i01.i.aliimg.com_photo_v0_50002539427_SalesMax.jpg,US $100-125 / Unit ( FOB Price),
